Store_ID,Region,Product_ID,Category,Seasonality,Avg_Units_Sold,Season_Intensity
S001,East,P0175,Electronics,Winter,85.8,Moderate
S001,East,P0178,Clothing,Autumn,98.58,Moderate
S001,East,P0178,Clothing,Spring,105.95,High
S001,East,P0178,Clothing,Summer,93.05,Moderate
S001,East,P0178,Clothing,Winter,132.78,High
S001,East,P0183,Electronics,Autumn,90.5,Moderate
S001,East,P0183,Electronics,Spring,95.24,Moderate
S001,East,P0183,Electronics,Summer,92.87,Moderate
S001,East,P0183,Electronics,Winter,90.02,Moderate
S001,East,P0187,Clothing,Autumn,98.83,Moderate
S001,East,P0187,Clothing,Spring,93.18,Moderate
S001,East,P0187,Clothing,Summer,98.84,Moderate
S001,East,P0187,Clothing,Winter,127.92,High
S001,North,P0016,Clothing,Autumn,87.33,Moderate
S001,North,P0016,Clothing,Spring,85.32,Moderate
S001,North,P0016,Clothing,Summer,100.2,High
S001,North,P0016,Clothing,Winter,122.74,High
S001,North,P0017,Toys,Autumn,96.35,Moderate
S001,North,P0017,Toys,Spring,86.75,Moderate
S001,North,P0017,Toys,Summer,85.61,Moderate
S001,North,P0017,Toys,Winter,91.79,Moderate
S001,North,P0031,Electronics,Autumn,95.5,Moderate
S001,North,P0031,Electronics,Spring,100.0,Moderate
S001,North,P0031,Electronics,Summer,87.77,Moderate
S001,North,P0031,Electronics,Winter,92.05,Moderate
S001,North,P0046,Clothing,Autumn,94.09,Moderate
S001,North,P0046,Clothing,Spring,101.75,High
S001,North,P0046,Clothing,Summer,95.76,Moderate
S001,North,P0046,Clothing,Winter,120.47,High
S001,North,P0057,Clothing,Autumn,96.29,Moderate
S001,North,P0057,Clothing,Spring,90.88,Moderate
S001,North,P0057,Clothing,Summer,93.23,Moderate
S001,North,P0057,Clothing,Winter,134.21,High
S001,North,P0061,Clothing,Autumn,94.26,Moderate
S001,North,P0061,Clothing,Spring,88.86,Moderate
S001,North,P0061,Clothing,Summer,92.85,Moderate
S001,North,P0061,Clothing,Winter,133.11,High
S001,North,P0066,Clothing,Autumn,91.51,Moderate
S001,North,P0066,Clothing,Spring,93.22,Moderate
S001,North,P0066,Clothing,Summer,98.38,Moderate
S001,North,P0066,Clothing,Winter,136.39,High
S001,North,P0067,Furniture,Autumn,97.18,Moderate
S001,North,P0067,Furniture,Spring,88.89,Moderate
S001,North,P0067,Furniture,Summer,95.66,Moderate
S001,North,P0067,Furniture,Winter,87.69,Moderate
S001,North,P0068,Electronics,Autumn,85.38,Moderate
S001,North,P0068,Electronics,Spring,79.83,Moderate
S001,North,P0068,Electronics,Summer,86.83,Moderate
S001,North,P0068,Electronics,Winter,86.44,Moderate
S001,North,P0069,Clothing,Autumn,94.98,Moderate
S001,North,P0069,Clothing,Spring,97.73,Moderate
S001,North,P0069,Clothing,Summer,92.34,Moderate
S001,North,P0069,Clothing,Winter,122.38,High
S001,North,P0070,Electronics,Autumn,86.5,Moderate
S001,North,P0070,Electronics,Spring,85.88,Moderate
S001,North,P0070,Electronics,Summer,79.63,Moderate
S001,North,P0070,Electronics,Winter,81.38,Moderate
S001,North,P0079,Furniture,Autumn,93.48,Moderate
S001,North,P0079,Furniture,Spring,104.1,High
S001,North,P0079,Furniture,Summer,92.71,Moderate
S001,North,P0079,Furniture,Winter,88.98,Moderate
S001,North,P0083,Toys,Autumn,92.0,Moderate
S001,North,P0083,Toys,Spring,87.83,Moderate
S001,North,P0083,Toys,Summer,91.74,Moderate
S001,North,P0083,Toys,Winter,96.58,Moderate
S001,North,P0085,Electronics,Autumn,87.0,Moderate
S001,North,P0085,Electronics,Spring,81.86,Moderate
S001,North,P0085,Electronics,Summer,86.2,Moderate
S001,North,P0085,Electronics,Winter,84.93,Moderate
S001,North,P0094,Groceries,Autumn,90.08,Moderate
S001,North,P0094,Groceries,Spring,86.12,Moderate
S001,North,P0094,Groceries,Summer,118.79,High
S001,North,P0094,Groceries,Winter,95.43,Moderate
S001,North,P0096,Toys,Autumn,97.5,Moderate
S001,North,P0096,Toys,Spring,94.74,Moderate
S001,North,P0096,Toys,Summer,80.04,Moderate
S001,North,P0096,Toys,Winter,93.31,Moderate
S001,North,P0116,Furniture,Autumn,99.5,Moderate
S001,North,P0116,Furniture,Spring,100.68,High
S001,North,P0116,Furniture,Summer,88.93,Moderate
S001,North,P0116,Furniture,Winter,94.76,Moderate
S001,North,P0125,Clothing,Autumn,92.04,Moderate
S001,North,P0125,Clothing,Spring,92.42,Moderate
S001,North,P0125,Clothing,Summer,92.46,Moderate
S001,North,P0125,Clothing,Winter,131.33,High
S001,North,P0126,Clothing,Autumn,95.5,Moderate
S001,North,P0126,Clothing,Spring,89.04,Moderate
S001,North,P0126,Clothing,Summer,98.56,Moderate
S001,North,P0126,Clothing,Winter,132.22,High
S001,North,P0129,Furniture,Autumn,100.45,High
S001,North,P0129,Furniture,Spring,92.57,Moderate
S001,North,P0129,Furniture,Summer,90.31,Moderate
S001,North,P0129,Furniture,Winter,97.98,Moderate
S001,North,P0133,Clothing,Autumn,91.56,Moderate
S001,North,P0133,Clothing,Spring,88.69,Moderate
S001,North,P0133,Clothing,Summer,91.41,Moderate
S001,North,P0133,Clothing,Winter,114.88,High
S001,North,P0149,Furniture,Autumn,93.27,Moderate
S001,North,P0149,Furniture,Spring,91.0,Moderate
S001,North,P0149,Furniture,Summer,95.46,Moderate
S001,North,P0149,Furniture,Winter,97.72,Moderate
S001,North,P0153,Furniture,Autumn,100.76,High
S001,North,P0153,Furniture,Spring,86.13,Moderate
S001,North,P0153,Furniture,Summer,92.36,Moderate
S001,North,P0153,Furniture,Winter,91.3,Moderate
S001,North,P0159,Electronics,Autumn,88.98,Moderate
S001,North,P0159,Electronics,Spring,80.73,Moderate
S001,North,P0159,Electronics,Summer,81.69,Moderate
S001,North,P0159,Electronics,Winter,92.8,Moderate
S001,North,P0166,Groceries,Autumn,94.36,Moderate
S001,North,P0166,Groceries,Spring,94.76,Moderate
S001,North,P0166,Groceries,Summer,120.64,High
S001,North,P0166,Groceries,Winter,93.91,Moderate
S001,North,P0171,Electronics,Autumn,88.3,Moderate
S001,North,P0171,Electronics,Spring,93.57,Moderate
S001,North,P0171,Electronics,Summer,93.3,Moderate
S001,North,P0171,Electronics,Winter,87.59,Moderate
S001,North,P0175,Electronics,Autumn,88.86,Moderate
S001,North,P0175,Electronics,Spring,75.36,Moderate
S001,North,P0175,Electronics,Summer,86.24,Moderate
S001,North,P0175,Electronics,Winter,88.33,Moderate
S001,North,P0178,Clothing,Autumn,90.97,Moderate
S001,North,P0178,Clothing,Spring,95.73,Moderate
S001,North,P0178,Clothing,Summer,86.22,Moderate
S001,North,P0178,Clothing,Winter,116.48,High
S001,North,P0183,Electronics,Autumn,93.73,Moderate
S001,North,P0183,Electronics,Spring,70.27,Moderate
S001,North,P0183,Electronics,Summer,97.28,Moderate
S001,North,P0183,Electronics,Winter,91.91,Moderate
S001,North,P0187,Clothing,Autumn,93.82,Moderate
S001,North,P0187,Clothing,Spring,94.81,Moderate
S001,North,P0187,Clothing,Summer,88.32,Moderate
S001,North,P0187,Clothing,Winter,141.02,High
S001,South,P0016,Clothing,Autumn,91.85,Moderate
S001,South,P0016,Clothing,Spring,86.85,Moderate
S001,South,P0016,Clothing,Summer,95.24,Moderate
S001,South,P0016,Clothing,Winter,136.02,High
S001,South,P0017,Toys,Autumn,92.56,Moderate
S001,South,P0017,Toys,Spring,86.05,Moderate
S001,South,P0017,Toys,Summer,94.55,Moderate
S001,South,P0017,Toys,Winter,98.44,Moderate
S001,South,P0031,Electronics,Autumn,81.57,Moderate
S001,South,P0031,Electronics,Spring,86.72,Moderate
S001,South,P0031,Electronics,Summer,91.54,Moderate
S001,South,P0031,Electronics,Winter,87.02,Moderate
S001,South,P0046,Clothing,Autumn,93.76,Moderate
S001,South,P0046,Clothing,Spring,91.33,Moderate
S001,South,P0046,Clothing,Summer,91.96,Moderate
S001,South,P0046,Clothing,Winter,138.62,High
S001,South,P0057,Clothing,Autumn,91.81,Moderate
S001,South,P0057,Clothing,Spring,84.26,Moderate
S001,South,P0057,Clothing,Summer,97.07,Moderate
S001,South,P0057,Clothing,Winter,131.78,High
S001,South,P0061,Clothing,Autumn,87.38,Moderate
S001,South,P0061,Clothing,Spring,92.71,Moderate
S001,South,P0061,Clothing,Summer,91.73,Moderate
S001,South,P0061,Clothing,Winter,136.38,High
S001,South,P0066,Clothing,Autumn,90.32,Moderate
S001,South,P0066,Clothing,Spring,87.79,Moderate
S001,South,P0066,Clothing,Summer,89.21,Moderate
S001,South,P0066,Clothing,Winter,124.24,High
S001,South,P0067,Furniture,Autumn,87.89,Moderate
S001,South,P0067,Furniture,Spring,81.13,Moderate
S001,South,P0067,Furniture,Summer,85.72,Moderate
S001,South,P0067,Furniture,Winter,97.58,Moderate
S001,South,P0068,Electronics,Autumn,92.38,Moderate
S001,South,P0068,Electronics,Spring,77.0,Moderate
S001,South,P0068,Electronics,Summer,81.78,Moderate
S001,South,P0068,Electronics,Winter,84.34,Moderate
S001,South,P0069,Clothing,Autumn,96.81,Moderate
S001,South,P0069,Clothing,Spring,77.76,Moderate
S001,South,P0069,Clothing,Summer,75.4,Moderate
S001,South,P0069,Clothing,Winter,128.28,High
S001,South,P0070,Electronics,Autumn,89.36,Moderate
S001,South,P0070,Electronics,Spring,89.77,Moderate
S001,South,P0070,Electronics,Summer,91.31,Moderate
S001,South,P0070,Electronics,Winter,81.91,Moderate
S001,South,P0079,Furniture,Autumn,88.54,Moderate
S001,South,P0079,Furniture,Spring,89.68,Moderate
S001,South,P0079,Furniture,Summer,82.3,Moderate
S001,South,P0079,Furniture,Winter,96.17,Moderate
S001,South,P0083,Toys,Autumn,91.97,Moderate
S001,South,P0083,Toys,Spring,102.92,High
S001,South,P0083,Toys,Summer,91.29,Moderate
S001,South,P0083,Toys,Winter,91.97,Moderate
S001,South,P0085,Electronics,Autumn,82.81,Moderate
S001,South,P0085,Electronics,Spring,81.92,Moderate
S001,South,P0085,Electronics,Summer,80.76,Moderate
S001,South,P0085,Electronics,Winter,87.28,Moderate
S001,South,P0094,Groceries,Autumn,86.05,Moderate
S001,South,P0094,Groceries,Spring,91.74,Moderate
S001,South,P0094,Groceries,Summer,121.44,High
S001,South,P0094,Groceries,Winter,89.12,Moderate
S001,South,P0096,Toys,Autumn,94.81,Moderate
S001,South,P0096,Toys,Spring,102.54,High
S001,South,P0096,Toys,Summer,103.77,High
S001,South,P0096,Toys,Winter,88.44,Moderate
S001,South,P0116,Furniture,Autumn,92.07,Moderate
S001,South,P0116,Furniture,Spring,92.42,Moderate
S001,South,P0116,Furniture,Summer,94.9,Moderate
S001,South,P0116,Furniture,Winter,90.17,Moderate
S001,South,P0125,Clothing,Autumn,99.32,Moderate
S001,South,P0125,Clothing,Spring,77.5,Moderate
S001,South,P0125,Clothing,Summer,91.85,Moderate
S001,South,P0125,Clothing,Winter,131.48,High
S001,South,P0126,Clothing,Autumn,95.51,Moderate
S001,South,P0126,Clothing,Spring,89.52,Moderate
S001,South,P0126,Clothing,Summer,85.29,Moderate
S001,South,P0126,Clothing,Winter,127.32,High
S001,South,P0129,Furniture,Autumn,87.47,Moderate
S001,South,P0129,Furniture,Spring,94.0,Moderate
S001,South,P0129,Furniture,Summer,99.18,Moderate
S001,South,P0129,Furniture,Winter,88.44,Moderate
S001,South,P0133,Clothing,Autumn,95.8,Moderate
S001,South,P0133,Clothing,Spring,87.06,Moderate
S001,South,P0133,Clothing,Summer,95.46,Moderate
S001,South,P0133,Clothing,Winter,136.82,High
S001,South,P0149,Furniture,Autumn,86.05,Moderate
S001,South,P0149,Furniture,Spring,82.14,Moderate
S001,South,P0149,Furniture,Summer,99.19,Moderate
S001,South,P0149,Furniture,Winter,94.85,Moderate
S001,South,P0153,Furniture,Autumn,99.07,Moderate
S001,South,P0153,Furniture,Spring,99.06,Moderate
S001,South,P0153,Furniture,Summer,94.15,Moderate
S001,South,P0153,Furniture,Winter,89.11,Moderate
S001,South,P0159,Electronics,Autumn,90.92,Moderate
S001,South,P0159,Electronics,Spring,74.66,Moderate
S001,South,P0159,Electronics,Summer,91.45,Moderate
S001,South,P0159,Electronics,Winter,91.56,Moderate
S001,South,P0166,Groceries,Autumn,90.38,Moderate
S001,South,P0166,Groceries,Spring,92.94,Moderate
S001,South,P0166,Groceries,Summer,127.18,High
S001,South,P0166,Groceries,Winter,89.93,Moderate
S001,South,P0171,Electronics,Autumn,93.85,Moderate
S001,South,P0171,Electronics,Spring,85.44,Moderate
S001,South,P0171,Electronics,Summer,88.26,Moderate
S001,South,P0171,Electronics,Winter,94.03,Moderate
S001,South,P0175,Electronics,Autumn,95.87,Moderate
S001,South,P0175,Electronics,Spring,95.33,Moderate
S001,South,P0175,Electronics,Summer,90.23,Moderate
S001,South,P0175,Electronics,Winter,86.73,Moderate
S001,South,P0178,Clothing,Autumn,90.67,Moderate
S001,South,P0178,Clothing,Spring,87.59,Moderate
S001,South,P0178,Clothing,Summer,98.31,Moderate
S001,South,P0178,Clothing,Winter,134.22,High
S001,South,P0183,Electronics,Autumn,85.76,Moderate
S001,South,P0183,Electronics,Spring,100.07,High
S001,South,P0183,Electronics,Summer,96.68,Moderate
S001,South,P0183,Electronics,Winter,85.59,Moderate
S001,South,P0187,Clothing,Autumn,91.26,Moderate
S001,South,P0187,Clothing,Spring,91.52,Moderate
S001,South,P0187,Clothing,Summer,83.48,Moderate
S001,South,P0187,Clothing,Winter,119.02,High
S001,West,P0016,Clothing,Autumn,88.2,Moderate
S001,West,P0016,Clothing,Spring,92.03,Moderate
S001,West,P0016,Clothing,Summer,93.18,Moderate
S001,West,P0016,Clothing,Winter,123.19,High
S001,West,P0017,Toys,Autumn,89.35,Moderate
S001,West,P0017,Toys,Spring,92.23,Moderate
S001,West,P0017,Toys,Summer,87.17,Moderate
S001,West,P0017,Toys,Winter,94.0,Moderate
S001,West,P0031,Electronics,Autumn,89.46,Moderate
S001,West,P0031,Electronics,Spring,91.76,Moderate
S001,West,P0031,Electronics,Summer,94.94,Moderate
S001,West,P0031,Electronics,Winter,89.47,Moderate
S001,West,P0046,Clothing,Autumn,98.4,Moderate
S001,West,P0046,Clothing,Spring,84.87,Moderate
S001,West,P0046,Clothing,Summer,93.05,Moderate
S001,West,P0046,Clothing,Winter,136.78,High
S001,West,P0057,Clothing,Autumn,97.44,Moderate
S001,West,P0057,Clothing,Spring,87.08,Moderate
S001,West,P0057,Clothing,Summer,95.11,Moderate
S001,West,P0057,Clothing,Winter,134.13,High
S001,West,P0061,Clothing,Autumn,97.6,Moderate
S001,West,P0061,Clothing,Spring,100.45,High
S001,West,P0061,Clothing,Summer,89.78,Moderate
S001,West,P0061,Clothing,Winter,127.44,High
S001,West,P0066,Clothing,Autumn,95.88,Moderate
S001,West,P0066,Clothing,Spring,95.17,Moderate
S001,West,P0066,Clothing,Summer,89.92,Moderate
S001,West,P0066,Clothing,Winter,134.76,High
S001,West,P0067,Furniture,Autumn,93.83,Moderate
S001,West,P0067,Furniture,Spring,92.31,Moderate
S001,West,P0067,Furniture,Summer,96.28,Moderate
S001,West,P0067,Furniture,Winter,89.31,Moderate
S001,West,P0068,Electronics,Autumn,79.81,Moderate
S001,West,P0068,Electronics,Spring,91.07,Moderate
S001,West,P0068,Electronics,Summer,89.18,Moderate
S001,West,P0068,Electronics,Winter,86.75,Moderate
S001,West,P0069,Clothing,Autumn,92.17,Moderate
S001,West,P0069,Clothing,Spring,87.96,Moderate
S001,West,P0069,Clothing,Summer,89.75,Moderate
S001,West,P0069,Clothing,Winter,127.3,High
S001,West,P0070,Electronics,Autumn,91.67,Moderate
S001,West,P0070,Electronics,Spring,89.47,Moderate
S001,West,P0070,Electronics,Summer,94.26,Moderate
S001,West,P0070,Electronics,Winter,89.62,Moderate
S001,West,P0079,Furniture,Autumn,97.37,Moderate
S001,West,P0079,Furniture,Spring,100.35,High
S001,West,P0079,Furniture,Summer,91.94,Moderate
S001,West,P0079,Furniture,Winter,94.13,Moderate
S001,West,P0083,Toys,Autumn,88.9,Moderate
S001,West,P0083,Toys,Spring,89.74,Moderate
S001,West,P0083,Toys,Summer,88.58,Moderate
S001,West,P0083,Toys,Winter,96.52,Moderate
S001,West,P0085,Electronics,Autumn,86.73,Moderate
S001,West,P0085,Electronics,Spring,89.0,Moderate
S001,West,P0085,Electronics,Summer,96.51,Moderate
S001,West,P0085,Electronics,Winter,82.88,Moderate
S001,West,P0094,Groceries,Autumn,102.48,High
S001,West,P0094,Groceries,Spring,96.15,Moderate
S001,West,P0094,Groceries,Summer,116.05,High
S001,West,P0094,Groceries,Winter,93.67,Moderate
S001,West,P0096,Toys,Autumn,97.0,Moderate
S001,West,P0096,Toys,Spring,89.11,Moderate
S001,West,P0096,Toys,Summer,89.65,Moderate
S001,West,P0096,Toys,Winter,97.33,Moderate
S001,West,P0116,Furniture,Autumn,96.31,Moderate
S001,West,P0116,Furniture,Spring,102.6,High
S001,West,P0116,Furniture,Summer,87.76,Moderate
S001,West,P0116,Furniture,Winter,87.07,Moderate
S001,West,P0125,Clothing,Autumn,99.58,Moderate
S001,West,P0125,Clothing,Spring,94.1,Moderate
S001,West,P0125,Clothing,Summer,95.12,Moderate
S001,West,P0125,Clothing,Winter,122.52,High
S001,West,P0126,Clothing,Autumn,90.25,Moderate
S001,West,P0126,Clothing,Spring,94.07,Moderate
S001,West,P0126,Clothing,Summer,89.21,Moderate
S001,West,P0126,Clothing,Winter,128.0,High
S001,West,P0129,Furniture,Autumn,104.91,High
S001,West,P0129,Furniture,Spring,94.73,Moderate
S001,West,P0129,Furniture,Summer,89.05,Moderate
S001,West,P0129,Furniture,Winter,92.69,Moderate
S001,West,P0133,Clothing,Autumn,94.57,Moderate
S001,West,P0133,Clothing,Spring,94.53,Moderate
S001,West,P0133,Clothing,Summer,98.1,Moderate
S001,West,P0133,Clothing,Winter,126.46,High
S001,West,P0149,Furniture,Autumn,93.26,Moderate
S001,West,P0149,Furniture,Spring,97.0,Moderate
S001,West,P0149,Furniture,Summer,90.25,Moderate
S001,West,P0149,Furniture,Winter,89.92,Moderate
S001,West,P0153,Furniture,Autumn,94.47,Moderate
S001,West,P0153,Furniture,Spring,88.77,Moderate
S001,West,P0153,Furniture,Summer,95.51,Moderate
S001,West,P0153,Furniture,Winter,89.95,Moderate
S001,West,P0159,Electronics,Autumn,78.58,Moderate
S001,West,P0159,Electronics,Spring,92.42,Moderate
S001,West,P0159,Electronics,Summer,86.66,Moderate
S001,West,P0159,Electronics,Winter,94.52,Moderate
S001,West,P0166,Groceries,Autumn,93.68,Moderate
S001,West,P0166,Groceries,Spring,93.0,Moderate
S001,West,P0166,Groceries,Summer,111.41,High
S001,West,P0166,Groceries,Winter,86.41,Moderate
S001,West,P0171,Electronics,Autumn,93.29,Moderate
S001,West,P0171,Electronics,Spring,92.32,Moderate
S001,West,P0171,Electronics,Summer,84.89,Moderate
S001,West,P0171,Electronics,Winter,85.3,Moderate
S001,West,P0175,Electronics,Autumn,96.46,Moderate
S001,West,P0175,Electronics,Spring,95.17,Moderate
S001,West,P0175,Electronics,Summer,85.21,Moderate
S001,West,P0175,Electronics,Winter,91.07,Moderate
S001,West,P0178,Clothing,Autumn,90.22,Moderate
S001,West,P0178,Clothing,Spring,91.67,Moderate
S001,West,P0178,Clothing,Summer,88.0,Moderate
S001,West,P0178,Clothing,Winter,127.77,High
S001,West,P0183,Electronics,Autumn,92.78,Moderate
S001,West,P0183,Electronics,Spring,88.29,Moderate
S001,West,P0183,Electronics,Summer,89.69,Moderate
S001,West,P0183,Electronics,Winter,85.64,Moderate
S001,West,P0187,Clothing,Autumn,99.22,Moderate
S001,West,P0187,Clothing,Spring,92.97,Moderate
S001,West,P0187,Clothing,Summer,92.08,Moderate
S001,West,P0187,Clothing,Winter,134.17,High
S002,East,P0016,Clothing,Autumn,99.52,Moderate
S002,East,P0016,Clothing,Spring,102.74,High
S002,East,P0016,Clothing,Summer,103.06,High
S002,East,P0016,Clothing,Winter,123.57,High
S002,East,P0017,Toys,Autumn,89.76,Moderate
S002,East,P0017,Toys,Spring,89.81,Moderate
S002,East,P0017,Toys,Summer,92.2,Moderate
S002,East,P0017,Toys,Winter,91.7,Moderate
S002,East,P0031,Electronics,Autumn,98.63,Moderate
S002,East,P0031,Electronics,Spring,95.72,Moderate
S002,East,P0031,Electronics,Summer,84.78,Moderate
S002,East,P0031,Electronics,Winter,89.97,Moderate
S002,East,P0046,Clothing,Autumn,92.51,Moderate
S002,East,P0046,Clothing,Spring,92.79,Moderate
S002,East,P0046,Clothing,Summer,96.88,Moderate
S002,East,P0046,Clothing,Winter,131.59,High
S002,East,P0057,Clothing,Autumn,92.93,Moderate
S002,East,P0057,Clothing,Spring,85.91,Moderate
S002,East,P0057,Clothing,Summer,95.98,Moderate
S002,East,P0057,Clothing,Winter,132.25,High
S002,East,P0061,Clothing,Autumn,92.75,Moderate
S002,East,P0061,Clothing,Spring,100.91,High
S002,East,P0061,Clothing,Summer,84.88,Moderate
S002,East,P0061,Clothing,Winter,135.79,High
S002,East,P0066,Clothing,Autumn,88.96,Moderate
S002,East,P0066,Clothing,Spring,104.92,High
S002,East,P0066,Clothing,Summer,101.45,High
S002,East,P0066,Clothing,Winter,137.31,High
S002,East,P0067,Furniture,Autumn,92.15,Moderate
S002,East,P0067,Furniture,Spring,98.7,Moderate
S002,East,P0067,Furniture,Summer,92.78,Moderate
S002,East,P0067,Furniture,Winter,93.62,Moderate
S002,East,P0068,Electronics,Autumn,91.17,Moderate
S002,East,P0068,Electronics,Spring,85.17,Moderate
S002,East,P0068,Electronics,Summer,77.79,Moderate
S002,East,P0068,Electronics,Winter,92.92,Moderate
S002,East,P0069,Clothing,Autumn,93.33,Moderate
S002,East,P0069,Clothing,Spring,81.41,Moderate
S002,East,P0069,Clothing,Summer,92.57,Moderate
S002,East,P0069,Clothing,Winter,128.04,High
S002,East,P0070,Electronics,Autumn,83.06,Moderate
